,City,Country,Lat,Lng,Temp,Humidity %,Cloundiness %,Wind Speed%
0,upernavik,countryName,72.79,,39.8,80,85,8.95
1,portland,countryName,43.66,,61.63,93,1,4.18
2,dingle,countryName,11.0,,89.48,57,6,3.98
3,sobolevo,countryName,54.43,,54.2,82,15,16.15
4,grindavik,countryName,63.84,,51.62,100,90,17.22
5,hambantota,countryName,6.12,,86.0,84,75,11.41
6,ushtobe,countryName,45.25,,81.56,25,70,18.9
7,praia da vitoria,countryName,38.73,,68.79,88,75,8.28
8,chuy,countryName,-33.69,,47.9,63,5,18.21
9,beringovskiy,countryName,63.05,,63.38,53,39,6.2
10,mount gambier,countryName,-37.83,,57.2,71,90,5.82
11,vaini,countryName,15.34,,75.2,94,75,9.17
12,bredasdorp,countryName,-34.53,,60.04,82,38,8.05
13,east london,countryName,-33.02,,62.6,36,0,10.29
14,busselton,countryName,-33.64,,65.62,39,25,25.14
15,pisco,countryName,-13.71,,60.91,82,90,9.17
16,chervonohryhorivka,countryName,47.62,,71.6,73,0,8.95
17,karratha,countryName,-20.74,,83.54,18,0,17.45
18,beira,countryName,43.2,,62.11,88,75,5.82
19,bluff,countryName,-23.58,,73.46,44,0,14.14
20,carmagnola,countryName,44.85,,71.15,72,0,4.7
21,menongue,countryName,-14.66,,44.48,50,0,4.76
22,georgetown,countryName,6.8,,75.2,100,75,4.7
23,biltine,countryName,14.53,,81.38,59,84,13.87
24,punta arenas,countryName,-53.16,,33.39,88,90,12.75
25,hermanus,countryName,-34.42,,58.66,81,59,11.01
26,kapaa,countryName,22.08,,78.21,78,90,10.29
27,arraial do cabo,countryName,-22.97,,72.38,71,97,8.25
28,seryshevo,countryName,51.09,,74.72,55,55,5.26
29,atherton,countryName,-17.27,,75.42,60,90,16.11
30,belaya gora,countryName,68.54,,59.6,50,93,14.18
31,zhigansk,countryName,66.77,,56.54,48,73,23.96
32,richards bay,countryName,-28.77,,61.04,44,0,6.4
33,lazurne,countryName,46.77,,77.96,65,0,7.43
34,atuona,countryName,-9.8,,80.12,76,1,15.05
35,mataura,countryName,-46.19,,48.0,78,74,8.01
36,aklavik,countryName,68.22,,57.2,62,20,6.93
37,cidreira,countryName,-30.17,,55.46,68,66,8.68
38,pacifica,countryName,37.61,,57.18,77,20,23.04
39,hamilton,countryName,43.26,,68.85,100,75,4.7
40,jamestown,countryName,-33.21,,57.8,64,9,8.84
41,aleksandrov gay,countryName,50.14,,75.62,55,60,12.82
42,mezhdurechensk,countryName,53.69,,69.68,61,58,1.12
43,port keats,countryName,-14.25,,85.34,25,41,11.27
44,arlit,countryName,18.74,,91.1,26,48,10.4
45,hithadhoo,countryName,-0.6,,83.9,76,53,12.06
46,namatanai,countryName,-3.66,,79.76,83,75,14.52
47,fairbanks,countryName,64.84,,65.84,43,90,5.82
48,kandrian,countryName,-6.21,,81.38,68,77,9.35
49,kieta,countryName,-6.22,,83.36,76,3,11.25
50,katobu,countryName,-4.94,,77.6,88,89,5.44
51,seoul,countryName,37.57,,82.08,51,75,3.36
52,faanui,countryName,-16.48,,77.42,74,100,35.57
53,colorines,countryName,18.88,,62.12,92,82,2.19
54,ushuaia,countryName,-54.81,,28.4,86,20,6.93
55,chapais,countryName,49.78,,51.8,93,1,3.36
56,thompson,countryName,55.74,,51.8,87,75,14.99
57,buala,countryName,-8.15,,81.38,80,10,8.46
58,fortuna,countryName,40.6,,56.1,100,20,8.05
59,taltal,countryName,-25.41,,47.72,84,5,1.41
60,churapcha,countryName,62.0,,65.54,44,100,8.3
61,kjollefjord,countryName,70.95,,46.4,93,75,8.05
62,salinas,countryName,36.67,,57.27,87,1,5.82
63,ukwa,countryName,5.47,,75.08,96,100,1.3
64,kaitangata,countryName,-46.28,,52.0,50,46,5.01
65,lebu,countryName,8.96,,57.8,85,100,3.13
66,sonipat,countryName,29.0,,95.41,56,75,12.75
67,porto novo,countryName,-23.68,,59.0,93,0,2.24
68,kolondieba,countryName,11.09,,75.08,83,92,4.56
69,high level,countryName,58.52,,59.0,58,75,4.7
70,bethel,countryName,60.79,,55.85,82,90,26.4
71,alofi,countryName,-19.06,,71.6,94,62,14.99
72,puerto ayora,countryName,-0.74,,69.01,97,0,1.01
73,cape town,countryName,-33.93,,57.02,93,75,10.29
74,kutum,countryName,14.2,,75.62,64,64,8.9
75,esperance,countryName,-33.86,,66.2,52,40,13.87
76,ronne,countryName,48.45,,56.55,76,0,10.29
